"INSEE_COM","NOM_COM_M"
"01150","DROM"
"01249","MIRIBEL"
"06083","MENTON"
"06088","NICE"
"10387","TROYES"
"12202","RODEZ"
"13005","AUBAGNE"
"13201","MARSEILLE"
"14118","CAEN"
"14228","DOUVRES LA DELIVRANDE"
"14514","PONT L EVEQUE"
"15012","ARPAJON SUR CERE"
"17299","ROCHEFORT"
"24294","MONTPON MENESTEROL"
"24322","PERIGUEUX"
"29075","GUIPAVAS"
"45203","MEUNG SUR LOIRE"
"51454","REIMS"
"57672","THIONVILLE"
"59553","SANTES"
"69034","CALUIRE ET CUIRE"
"69381","LYON"
"69244","TASSIN LA DEMI LUNE"
"69264","VILLEFRANCHE SUR SAONE"
"71342","PARAY LE MONIAL"
"72154","FLECHE"
"72181","MANS"
"73008","AIX LES BAINS"
"74012","ANNEMASSE"
"76217","DIEPPE"
"77083","CHAMPS SUR MARNE"
"78005","ACHERES"
"78190","CROISSY SUR SEINE"
"78358","MAISONS LAFFITTE"
"78361","MANTES LA JOLIE"
"78396","MESNIL LE ROI"
"78551","SAINT GERMAIN EN LAYE"
"78646","VERSAILLES"
"80021","AMIENS"
"85163","NOIRMOUTIER EN L ILE"
"89024","AUXERRE"
"91021","ARPAJON"
"91272","GIF SUR YVETTE"
"91377","MASSY"
"91471","ORSAY"
"91657","VIGNEUX SUR SEINE"
"92004","ASNIERES SUR SEINE"
"92023","CLAMART"
"92026","COURBEVOIE"
"92040","ISSY LES MOULINEAUX"
"92044","LEVALLOIS PERRET"
"92046","MALAKOFF"
"92048","MEUDON"
"92051","NEUILLY SUR SEINE"
"92063","RUEIL MALMAISON"
"92073","SURESNES"
"93010","BONDY"
"93031","EPINAY SUR SEINE"
"93063","ROMAINVILLE"
"93070","SAINT OUEN SUR SEINE"
"94019","CHENNEVIERES SUR MARNE"
"94022","CHOISY LE ROI"
"94028","CRETEIL"
"94033","FONTENAY SOUS BOIS"
"94038","HAY LES ROSES"
"94041","IVRY SUR SEINE"
"94044","LIMEIL BREVANNES"
"94068","SAINT MAUR DES FOSSES"
"94081","VITRY SUR SEINE"
"95127","CERGY"
"95582","SANNOIS"
"97120","POINTE A PITRE"
